Fugenelement,Start Proportion,End Proportion,27-Year Delta,Average Proportion,Average Change/Year,Proportional Average Change/Year,R^2
NULL,0.5301273665824286,0.5555440702450847,0.025416703662656026,0.5428357184137567,0.0009413593949131853,0.0017341515360558284,0.6775903741755724
ADD_S,0.20271293539511026,0.17604404929808704,-0.026668886097023226,0.18937849234659884,-0.0009877365221119699,-0.005215674229279549,0.8365005007683269
ADD_N,0.0643476062219594,0.05860598058317884,-0.005741625638780556,0.061476793402569105,-0.00021265280143631602,-0.0034590743867169444,0.4875298521869196
ADD_EN,0.019780977481545364,0.02018926712264839,0.000408289641103024,0.019985122302096876,1.5121838559371231e-05,0.0007566547920392071,0.004869610126839952
ADD_NEN,0.00013142280550636687,8.531321913317303e-05,-4.610958637319383e-05,0.00010836801231976988,-1.7077624582664301e-06,-0.01575891650782708,0.07514048206404766
DEL_US_ADD_EN,3.411772883316153e-05,8.527602659871543e-05,5.11582977655539e-05,5.9696877715938395e-05,1.894751769094592e-06,0.031739545543915684,0.16398284793526274
DEL_UM_ADD_EN,0.0030817573429370027,0.006139833201410372,0.003058075858473369,0.0046107952721737054,0.00011326206883234735,0.024564540853914615,0.47423267458330753
DEL_UM_ADD_A,1.3964997027337417e-05,0.00023151677023909578,0.00021755177321175836,0.00012274088363321915,8.057473081916964e-06,0.06564620396570335,0.386544634536811
DEL_E,0.08121417913683797,0.0825405581355589,0.0013263789987209285,0.08187736863619843,4.912514810077536e-05,0.000599984451369592,0.019709069532172108
DEL_A_ADD_EN,0.001736367296413712,0.0015313515694291794,-0.0002050157269845327,0.0016338594329214481,-7.593175073501173e-06,-0.004647385766793951,0.03292775414876492
ADD_E,0.005432920115923959,0.006506939850137158,0.0010740197342131996,0.0059699299830305655,3.9778508674562966e-05,0.0066631449259258934,0.36761882356173203
UMLAUT_ADD_E,0.0013342400295308088,0.0014773090026537431,0.00014306897312293433,0.0014057745160922753,5.298850856404986e-06,0.0037693462185774667,0.08144004289027795
DEL_ON_ADD_EN,3.7581740796854406e-07,-1.388890420753346e-07,-5.147064500438787e-07,1.18464182946607e-07,-1.9063201853476987e-08,-0.16091954022988506,0.06257982120050998
ADD_ES,0.033056131617889506,0.028792928646030003,-0.004263202971859503,0.030924530131959733,-0.0001578964063651655,-0.00510586274686785,0.16000434110195216
UMLAUT_ADD_ER,0.008519783152040022,0.006846399734048603,-0.0016733834179914198,0.007683091443044318,-6.197716362931166e-05,-0.008066696080445721,0.19853598675096173
DEL_EN,0.03411907918909218,0.041968946151112574,0.007849866962020391,0.0380440126701024,0.0002907358134081622,0.007642091172907278,0.38107433304439164
DEL_ON_ADD_A,1.8524312816755803e-05,8.399694551568943e-05,6.547263269893362e-05,5.126062916622249e-05,2.424912322182715e-06,0.047305551290045,0.1444553860287463
ADD_ER,0.010047968403400692,0.010125223864441719,7.725546104102657e-05,0.010086596133921205,2.861313371889936e-06,0.00028367482289365625,0.0005770199975843049
ADD_IEN,0.004087864316830753,0.0029988496877553783,-0.0010890146290753744,0.0035433570022930607,-4.033387515093984e-05,-0.0113829555206653,0.14361140228310332
DEL_E_ADD_I,0.00020241805646798786,0.0002023288359786053,-8.922048938257601e-08,0.0002023734462232966,-3.3044625697247388e-09,-1.6328538310696315e-05,1.113047979339754e-06
